FST TAG	LINGUISTIC (SHORT)	LINGUISTIC (LONG)	ENGLISH	NÊHIYAWÊWIN	EMOJI
PV/kakwahyaki	Preverb: kakwâhyaki-		greatly, extremely, overwhelmingly; with startled surprise		
PV/kakwayaki	Preverb: kakwâyaki-		greatly, extremely		
PV/kakwe	Preverb: kakwê-		try to, attempt to		
PV/kakweci	Preverb: kakwêci-		inquire		
PV/kamwaci	Preverb: kâmwâci-		quietly		
PV/kanaci	Preverb: kanâci-		clean		
PV/kape	Preverb: kapê-		for the full duration of; always		
PV/kaski	Preverb: kaski-		dense		
PV/kaskitewi	Preverb: kaskitêwi-		black		
PV/kaspi	Preverb: kâspi-		crunching		
PV/kawi	Preverb: kâwi-		again; back, in return		
PV/kayasi	Preverb: kayâsi-		old		
PV/ke	Preverb: kê-		grammatical preverb; future, conditional: shall; defines a changed conjunct clause		
PV/kekaci	Preverb: kêkâci-		almost		
PV/ket	Preverb: kêt-		take off, remove		
PV/ketiski	Preverb: kêtiski-		to exact measure		
PV/ki	Preverb: kî-		grammatical preverb; past, completion		
PV/kici	Preverb: kici-		so that		
PV/kihci	Preverb: kihci-		great, big, important		
PV/kika	Preverb: kika-		grammatical preverb; future; defines a conjunct clause		
PV/kimoci	Preverb: kîmôci-		secretly, by stealth		
PV/kipi	Preverb: kîpi-		quickly		
PV/kisci	Preverb: kisci-		big		
PV/kise	Preverb: kisê-		great, gentle		
PV/kisi	Preverb: kîsi-		finish; completely, to completion; completing, having done		
PV/kisipi	Preverb: kisipi-		end, finish, ending		
PV/kisiska	Preverb: kisiskâ-		fast, quickly		
PV/kisiwi	Preverb: kisîwi-		angrily, in anger		
PV/kiski	Preverb: kîski-		severing, breaking, cutting off		
PV/kisopwe	Preverb: kîsopwê-		with hot weather		
PV/kita	Preverb: kita-		[grammatical preverb]; future: will, shall; infinitive; optative: ought, should		
PV/kita-ki	Preverb: kita-kî-		can, be able to; may; ought to		
PV/kitimaki	Preverb: kitimâki-		pitiable, pitiably		
PV/kiwaci	Preverb: kîwâci-		orphaned, stray; lonely, desolately		
PV/kiwe	Preverb: kîwê-		back, homeward		
PV/kiye	Preverb: kiyê-		grammatical preverb; future; in changed conjunct clauses		
PV/kiyi	Preverb: kiyi-		grammatical preverb; future; defines a conjunct clause		
PV/koci	Preverb: koci-		try to		
PV/kota	Preverb: kôta-		long for, be deprived of		
PV/kotate	Preverb: kôtatê-		at a loss, making no attempt		
PV/kwahci	Preverb: kwâhci-		far off		
PV/kwaskwe	Preverb: kwâskwê-		upwards		
PV/kwataki	Preverb: kwâtaki-		distressing, tormenting, tortuous		
PV/kwayaci	Preverb: kwayâci-		in readiness, already; in preparation; beforehand		
PV/kwayako	Preverb: kwayako-		taking out, directly		
PV/kwayaski	Preverb: kwayaski-		properly		
PV/kwayasko	Preverb: kwayasko-		straight; properly, correctly		
PV/kweski	Preverb: kwêski-		turning		
PV/kwetawi	Preverb: kwêtawi-		doubtful		
PV/kwitawi	Preverb: kwîtawi-		impatiently		
PV/maaci	Preverb: mâci-		begin to, start to; commencement; initially		
PV/maci	Preverb: maci-		bad, evil, wicked, wrong, ill		
PV/maci-manitowi	Preverb: maci-manitowi		evil, devilish; of the Devil		
PV/mahi	Preverb: mâhi-		downstream		
PV/mahti	Preverb: mahti-		let us; hortatory		
PV/mamawi	Preverb: mâmawi-		together; in full number of them all, altogether, all together as a group		
PV/mana	Preverb: manâ-		beware of, careful not to, avoid doing		
PV/mani	Preverb: mani-		with the intent of, with the purpose of		
PV/maninakisko	Preverb: mâninâkisko-		without hesitation, entirely		
PV/maski	Preverb: mâski-		crippled; defective, deformed		
PV/masta	Preverb: mastâ-		later		
PV/matwe	Preverb: matwê-		audibly, visibly; perceptibly; loudly; heard or seen from a distance		
PV/mayaci	Preverb: mâyâci-		bad		
PV/mayi	Preverb: mâyi-		bad, evil; badly, evilly, wickedly		
PV/mecimwaci	Preverb: mêcimwâci-		permanently, for good		
PV/mesci	Preverb: mêsci-		exhaustively, till all is gone		
PV/mesti	Preverb: mêsti-		it is used up, it is burnt out, it is spent		
PV/mihko	Preverb: mihko-		red		
PV/mihyawe	Preverb: mihyawê-		with fur or body hair		
PV/misakame	Preverb: misakâmê-		all the way		
PV/misi	Preverb: misi-		big, greatly; much, a lot; very, extremely, to the extreme		
PV/mistiko	Preverb: mistiko-		wood, of wood, wooden		
PV/miyo	Preverb: miyo-		good, well, beautifully		
PV/mohco	Preverb: môhco-		silly, crazy		
PV/mosci	Preverb: mosci-		just, merely, plainly, simply, directly, without mediation, without instrumentality; by hand		
PV/mwayi	Preverb: mwayî-		before, prior to		
PV/mêkwa	Preverb: mêkwâ-		currently, presently, right now; while, during, in the meantime, in the act or place		
PV/naci	Preverb: nâci-		getting		
PV/nahi	Preverb: nahi-		well, fair		
PV/nahta	Preverb: nahtâ-		able; good at, competent, practised, experienced, skillful at, expert at, known as one who does s.t. habitually; well		
PV/naki	Preverb: naki-		stopping		
PV/nanitaw	Preverb: nânitaw-		[in negative clauses:] any		
PV/napaki	Preverb: napaki-		flat		
PV/naspaci	Preverb: naspâci-		opposite, contrarily		
PV/natakasi	Preverb: nâtakâsi-		into the bush country		
PV/natawi	Preverb: natawi-		go to		
PV/nawaci	Preverb: nawaci-		better		
PV/nawayawi	Preverb: nâwayawi-		one behind the other, in a row		
PV/nehiyawi	Preverb: nêhiyawi-		Cree, in Cree		
PV/nihci	Preverb: nîhci-		down, downwards; bottom		
PV/nihta	Preverb: nihtâ-		able; good at, competent, practised, experienced, skillful at, expert at, known as one who does s.t. habitually; well		
PV/nihtaciwe	Preverb: nîhtaciwê-		downhill, down		
PV/nikani	Preverb: nîkâni-		in front, ahead, at the head, in the future		
PV/nimi	Preverb: nîmi-		take along		
PV/nipa	Preverb: nîpâ-		at night, in the dark		
PV/nipahi	Preverb: nipahi-		really, very, extremely		
PV/nisihkaci	Preverb: nisîhkâci-		gently, carefully, slowly		
PV/niso	Preverb: nîso-		two		
PV/nitawi	Preverb: nitawi-		go and, go to; engaged in		
PV/nohte	Preverb: nôhtê-		want to, desire to; lack		
PV/o	Preverb: ô-		from there, for that reason; with, by means of; [grammatical preverb]		
PV/ocihci	Preverb: ocihci-		back in time; far back; from before, earlier; having lived long enough for something; chance to, live to, live to see		
PV/oh	Preverb: ôh-		from there, for that reason; with, by means of; [past preverb in negative clauses]		
PV/ohci	Preverb: ohci-		from there; with, by means of; because, for that reason, therefore, thence; [grammatical preverb; past preverb in negative clauses]		
PV/ohtiskawi	Preverb: ohtiskawi-		facing		
PV/osami	Preverb: osâmi-		too much, because of excess, for		
PV/osawaski	Preverb: osâwaski-		green, blue-green		
PV/osawi	Preverb: osâwi-		yellow, brown		
PV/oski	Preverb: oski-		new, young, first		
PV/otami	Preverb: otami-		busy, occupied, delayed		
PV/paci	Preverb: paci-		wrongly, in error		
PV/pahkaci	Preverb: pâhkaci-		fixed, not moving; locked in to a previously stated obligation		
PV/pahki	Preverb: pahki-		portion of		
PV/pahko	Preverb: pâhko-		dry		
PV/pakwano	Preverb: pakwâno-		from memory		
PV/papa	Preverb: papâ-		go around, about, all over		
PV/papami	Preverb: papâmi-		around, about, all over, here and there, hither and thither		
PV/papasi	Preverb: papâsi-		fast, in a hurry, quick		
PV/pasci	Preverb: pâsci-		over, beyond		
PV/pasici	Preverb: pâsici-		stepping over, skipping		
PV/pasiko	Preverb: pasikô-		get up (from sitting)		
PV/paspi	Preverb: paspi-		through narrow opening		
PV/pe	Preverb: pê-		come and; towards, approaching; hither; thence, from there on down; [towards focus]		
PV/peyako	Preverb: pêyako-		alone, only; as one		
PV/pihci	Preverb: pîhci-		inside, in, within		
PV/pihtawe	Preverb: pîhtawê-		under; double		
PV/pihtoke	Preverb: pîhtokê-		entering to the inside, entering house		
PV/pikiskaci	Preverb: pîkiskâci-		sorry, sad, lonely		
PV/pimi	Preverb: pîmi-		twisted		
PV/pimici	Preverb: pimici-		crosswise, from side, at right angle		
PV/pimipahci	Preverb: pimipahci-		running, on the run		
PV/pisci	Preverb: pisci-		accidentally, mistakenly, erroneously		
PV/pitosi	Preverb: pîtosi-		different, foreign		
PV/piwi	Preverb: pîwi-		small		
PV/poni	Preverb: pôni-		stop, terminate, cease; after		
PV/posko	Preverb: pôsko-		the same		
PV/pwana	Preverb: pwâna-		unable, fail to		
PV/pwatawi	Preverb: pwâtawi-		unable to do, failing		
PV/sakewe	Preverb: sâkêwê-		behind obstacle to vision, into view		
PV/sapo	Preverb: sâpo-		fully, exhaustively, through, through and through, right through, from end to end; beyond		
PV/saposci	Preverb: sâposci-		through		
PV/sasakici	Preverb: sâsakici-		backwards; supine		
PV/saskaci	Preverb: saskaci-		weary, tired of		
PV/sehke	Preverb: sêhkê-		by itself, of own accord; move ahead of own accord; willingly		
PV/sesawi	Preverb: sêsâwi-		stretching, exercising		
PV/sikaci	Preverb: sikaci-		impatiently, bored with		
PV/sikawi	Preverb: sîkawi-		pouring, flooding		
PV/simaci	Preverb: simaci-		upright; straightened		
PV/sipwe	Preverb: sipwê-		leaving, departing, going away; starting out, commencement		
PV/sisikoci	Preverb: sisikoci-		suddenly		
PV/sisiwe	Preverb: sisiwê-		spread, scatter		
PV/sohkahat	Preverb: sôhkahât-		greatly, powerfully		
PV/sohki	Preverb: sôhki-		hard, strongly, intensively, vigourously, properly		
PV/soniyawi	Preverb: sôniyâwi-		with respect to money, in financial matters		
PV/ta	Preverb: ta-		grammatical preverb: future; infinitive		
PV/ta-ki	Preverb: ta-kî-		can, be able to; should, ought to		
PV/tah	Preverb: tâh-		would, ought to; likely to		
PV/tahci	Preverb: tâhci-		on the top		
PV/tahki	Preverb: tahki-		repeated action, always, constantly ;; receiving a chill, cold		
PV/tahkohci	Preverb: tahkohci-		on top		
PV/tahto	Preverb: tahto-		as many as		
PV/takahki	Preverb: takahki-		good, nice		
PV/tako	Preverb: tako-		in addition to, on top, over and above; with, having along, also		
PV/tapi	Preverb: tâpi-		through the same place		
PV/tapisi	Preverb: tâpisi-		threading, inserting		
PV/tasi	Preverb: tasi-		for such a time, for the duration; an action at a time, while		
PV/tehci	Preverb: têhci-		on, on top of something		
PV/tepi	Preverb: têpi-		sufficiently; enough; reaching		
PV/tewi	Preverb: têwi-		pain		
PV/teyi	Preverb: têyi-		pain		
PV/tipi	Preverb: tipi-		equal		
PV/tita	Preverb: tita-		[grammatical preverb; future]		
PV/tomi	Preverb: tômi-		oily, greasy		
PV/wa	Preverb: wâ-		intend to, be about to		
PV/wah	Preverb: wâh-		whenever in future		
PV/wahke	Preverb: wahkê-		addicted to, easily led to		
PV/waki	Preverb: wâki-		curving		
PV/wani	Preverb: wani-		dim, dark, indistinctly, blurred; lose; destroy		
PV/wapani	Preverb: wâpani-		dawn; at, until dawn		
PV/wapohki	Preverb: wâpôhki-		white		
PV/wasa	Preverb: wâsâ-		around		
PV/wase	Preverb: wâsê-		clear; bright		
PV/wawiye	Preverb: wâwiyê-		round, spherical		
PV/wayawi	Preverb: wayawî-		outside; out from inside, out from the tipi		
PV/wayesi	Preverb: wayêsi-		deceitfully		
PV/wehci	Preverb: wêhci-		easily		
PV/wi	Preverb: wî-		grammatical preverb: intend to, be about to		
PV/wihpi	Preverb: wîhpi-		hollowing out		
PV/wini	Preverb: wîni-		soil, dirty		
PV/wipi	Preverb: wîpi-		dirty, unclean		
PV/wipo	Preverb: wîpo-		narrow		
PV/wisaki	Preverb: wîsaki-		painfully		
PV/wito	Preverb: wîto-		want, intend		
PV/wiyipi	Preverb: wiyîpi-		dirty looking; dull brown, drab		
PV/yahki	Preverb: yahki-		act of pushing forward; increasing, increasingly, adding, more and more		
PV/yikate	Preverb: yîkatê-		aside		
PV/yipe	Preverb: yîpê-		on a slant, on a slope, on the side, sideways		
PV/yoski	Preverb: yôski-		soft, softly		
Pl	Plural	Plural	many	mihcêt	
PlO	→ Pl	Goal: Plural	→ many	→ mihcêt	
					
PrA		Pronoun: Animate	like: awa	tâpiskôc: awa	➡️🧑🏽
PrI		Pronoun: Inanimate	like: ôma	tâpiskôc: ôma	➡️💧
					
Pron		Pronoun	Pointing word	itâskonamin-itwêwin	➡️
Prop		Proper	how something/someone is called	isiyihkâsowin	
Prox	Proximal	Proximate	Here	ôtâ	
Prs	Present	Present tense	something is happening now	ê-ispayik anohc/mêkwâc/mâna	
Prt	Past	Past tense	something happened earlier	ê-ispayik kwayâc	
Px12Pl	Possessor: 21p (incl)	Possessor: 1st Person Plural (Inclusive)	your and our	kiyânaw	
Px1Pl	Possessor: 1p (excl)	Possessor: 1st Person Plural (Exclusive)	our (but not your)	niyanân	
Px1Sg	Possessor: 1s	Possessor: 1st Person Singular	my	niya	
Px21Pl	Possessor: 21p (incl)	Possessor: 1st Person Plural (Inclusive)	your and our	kiyânaw	
Px2Pl	Possessor: 2p (excl)	Possessor: 2nd Person Plural	your (all)	kiyawâw	
Px2Sg	Possessor: 2s	Possessor: 2nd Person Singular	your (one)	kiya	
Px3Pl	Possessor: 3p	Possessor: 3rd Person Plural	their	wiyawâw	
Px3Sg	Possessor: 3s	Possessor: 3rd Person Singular	his/her	wiya	
Px4Pl	Possessor: 4p	Possessor: 3rd Person Plural (Obviative)	his/her (further)	wiya (anihi)	
Px4Sg	Possessor: 4s	Possessor: 3rd Person Singular (Obviative)	their (further)	wiyawâw (anihi)	
Px4Sg/Pl	Possessor: 4	Possessor: 3rd Person Singular/Plural (Obviative)	his/her/their	wiya/wiyawâw (anihi)	
PxX	Possessor: X	Possessor: Unspecified	someone's	(awiya)	
					
RdplS		Reduplication: Strong/Heavy	Intense	tâpiskôc: nâh-nipâw	
RdplW		Reduplication: Weak/Light	Repeated	tâpiskôc: na-nipâw	
Rel		Relative			
Rom		Roman	like: I, V, X	tâpiskôc: I, V, X	
					
Sg	Singular	Singular	one	pêyak	
					
					
					
					
TA	Transitive Animate		like: wîcihêw, itêw	tâpiskôc: wîcihêw, itêw	
TI	Transitive Inaminate		like: nâtam, mîciw	tâpiskôc: nâtam, mîciw	
					
V	Verb		Action word	ispayin-itwêwin	
V+II	Inanimate intransitive verb	Verb — inanimate intransitive	Action word — like: miywâsin, mihkwâw	ispayin-itwêwin — tâpiskôc: miywâsin, mihkwâw	💧➡️
V+AI	Animate intransitive verb	Verb — animate intransitive	Action word — like: mîcisow, nipâw	ispayin-itwêwin — tâpiskôc: mîcisow, nipâw	🧑🏽➡️
V+TI	Transitive inanimate verb	Verb — transitive inanimate	Action word — like: nâtam, mîciw	ispayin-itwêwin — tâpiskôc: nâtam, mîciw	🧑🏽➡️💧
V+TA	Transitive animate verb	Verb — transitive animate	Action word — like: wîcihêw, itêw	ispayin-itwêwin — tâpiskôc: wîcihêw, itêw	🧑🏽➡️🧑🏽
					
Voc	Vocative	Vocative	call/address	kitowin	
					
VAI-1	VAI-1	vowel-final animate intransitive verb	like: nipâw	tâpiskôc: nipâw	
VAI-v	VAI-v	vowel-final animate intransitive verb	like: nipâw	tâpiskôc: nipâw	
VAI-2	VAI-2	n-final animate intransitive verb	like: pimisin	tâpiskôc: pimisin	
VAI-3	VAI-3	VTI-like animate intransitive verb	like: yâhyânam	tâpiskôc: yâhyânam	
VII-1n	VII-1n	n-final impersonal inanimate intransitive verb	like: kimiwan	tâpiskôc: kimiwan	
VII-2n	VII-2n	n-final pluralizable inanimate intransitive verb	like: miywâsin	tâpiskôc: miywâsin	
VII-1v	VII-1v	vowel-final impersonal inanimate intransitive verb	like: kîsikâw	tâpiskôc: kîsikâw	
VII-2v	VII-2v	vowel-final pluralizable  inanimate intransitive verb	like: mihkwâw	tâpiskôc: mihkwâw	
VTA-1	VTA-1	transitive animate verb – class 1: regular	like: wîcihêw	tâpiskôc: wîcihêw	
VTA-2	VTA-2	transitive animate verb – class 2	like: nitonawêw	tâpiskôc: nitonawêw	
VTA-3	VTA-3	transitive animate verb – class 3	like: kîskiswêw	tâpiskôc: kîskiswêw	
VTA-4	VTA-4	transitive animate verb – class 4	like: nakatêw	tâpiskôc: nakatêw	
VTA-5	VTA-5	transitive animate verb – class 5	like: itêw	tâpiskôc: itêw	
VTI-1	VTI-1	transitive inanimate verb – class 1: regular	like: nâtam	tâpiskôc: nâtam	
VTI-2	VTI-2	transitive inanimate verb – class 2: stem-final -â	like: kisihtâw	tâpiskôc: kisihtâw	
VTI-3	VTI-3	transitive inanimate verb – class 3	like: mîciw	tâpiskôc: mîciw	
					
X	X	Actor: Unspecified	someone	(awiya)	
XO	→ X	Goal: Unspecified	→ someone	→ (awiya)	
					
A+Sg+Title	A+Sg	Singular, Animate	One (awa word)	pêyak (awa)	
A+Pl+Title	A+Pl	Plural, Animate	Many (awa word)	mihcêt (awa)	
I+Sg+Title	I+Sg	Singular, Inanimate	One (ôma word)	pêyak (ôma)	
I+Pl+Title	I+Pl	Plural, Inanimate	Many (ôma word)	mihcêt (ôma)	
